Entity	Code	Day	Training computation (petaFLOP)	Domain
ChatGLM3-6B		2023-10-27	50400000.0	Multiple domains
Chinchilla		2022-03-29	576000000.0	Language
Chinese - English translation		2018-03-01		Language
Claude		2023-03-14		Language
Claude 2		2023-07-11	3866000100.0	Language
Claude 2.1		2023-11-21		Language
Claude 3 Opus		2024-03-04		Multiple domains
Claude 3.5 Sonnet		2024-06-20		Multiple domains
CoAtNet		2021-06-09	42700004.0	Vision
CoCa		2022-06-14	73000000.0	Vision
CoEdiT-xxl		2023-05-17		Language
CoRe		2023-12-29		Multiple domains
CodeT5+		2023-05-20		Language
CodeT5-base		2021-11-01	1560000.1	Language
CodeT5-large		2022-07-05	2720000.0	Language
Codex		2021-07-07	73440000.0	Language
CogAgent		2023-12-14	67070004.0	Multiple domains
CogVLM-17B		2023-11-06	63310000.0	Multiple domains
CogVideo		2022-05-29		Multiple domains
CogView		2021-05-26	26800000.0	Image generation
Cognitron		1975-09-01	5.76e-09	Other
Cohere Embed		2023-11-02		Language
Conformer		2020-05-16		Speech
Conformer + Wav2vec 2.0 + Noisy Student		2020-10-20	7600000.0	Speech
Constituency-Tree LSTM		2015-02-28		Language
Context-dependent RNN		2012-07-27		Language
ContextNet		2020-05-07		Speech
ContextNet + Noisy Student		2020-01-19	8160000.0	Speech
Contriever		2021-12-16	157000.0	Language
Conv-DBN		2009-06-14		Vision
ConvNet similarity metric		2005-06-20		Vision
ConvS2S (ensemble of 8 models)		2017-07-25	56400.0	Language
Convolutional Pose Machines		2016-01-30		Vision
Cross-Lingual POS Tagger		2011-06-19		Language
Cross-lingual alignment		2019-04-04	2560.0	Language
Cutout-regularized net		2017-08-15		Vision
DALL-E		2021-01-05	47000000.0	Image generation
DALL·E 2		2022-04-06		Image generation
DALL·E 3		2023-10-19		Image generation
DANet		2019-04-21		Vision
DARTS		2018-06-24	11.0	Language
DBLSTM		2013-12-08		Speech
DCN+		2017-10-31		Language
DD-PPO		2019-12-19	780000.06	Other
DDPM-IP (CelebA)		2023-01-27	350000.0	Image generation
DETR		2020-05-26	400000.0	Vision
DINOv2		2023-04-14	7418511.0	Vision
DITTO		2022-06-06	11000.0	Language
DLRM-2020		2019-05-31	4000.0	Other
DMN		2016-06-20		Language
DNABERT		2021-08-15	107000.01	Biology
DOT(S)-RNN		2013-12-20		Language
DQN		2013-12-19	2.3000002	Games
DQN-2015		2015-02-25		Games
DeBERTa		2021-06-10	25880000.0	Language
DeBERTaV3-large + KEAR		2021-12-06		Language
DeLighT		2020-08-03	24000.0	Language
DeViSE		2013-12-05		Vision
Decision tree (classification)		2001-12-08	0.063	Vision
Decision tree adaline		1969-05-01		Other
Deconvolutional Network		2010-06-13		Vision
Decoupled weight decay regularization		2019-01-04	2470.0002	Vision
Deep Autoencoders		2011-01-01	36.72864	Vision
Deep Belief Nets		2006-07-18		Vision
Deep Blue		1997-05-01		Games
Deep Boltzmann Machines		2009-04-16		Other
Deep Deterministic Policy Gradients		2015-09-09		Other
Deep LSTM video classifier		2015-05-01		Other
Deep Multitask NLP Network		2008-07-05		Language
Deep rectifier networks		2011-04-13		Vision
DeepFace		2014-06-23		Vision
DeepLab		2014-12-22		Vision
DeepLab (2017)		2017-04-27		Vision
DeepLabV3		2017-06-17		Vision
DeepLabV3+		2018-02-07		Vision
DeepNash		2022-12-01		Games
DeepNet		2022-03-01		Language
DeepSeek-Coder-V2 236B		2024-06-17	1285200000.0	Language
DeepSpeech2 (English)		2015-12-08	26000.0	Speech
DeepStack		2017-01-06	14463.36	Games
Deeply-recursive ConvNet		2016-11-11		Multiple domains
Deeply-supervised nets		2014-09-18		Vision
DeiT-B		2021-01-15	78840.0	Vision
Denoising Autoencoders		2008-07-05		Other
Denoising Diffusion Probabilistic Models (LSUN Bedroom)		2021-06-11	380000.03	Vision
DenseNet-264		2016-08-25		Vision
DensePhrases		2020-12-23	2099.52	Language
Detic		2022-01-07	23439.975	Vision
DiT-XL/2		2023-03-02	600000.0	Image generation
DiT-XL/2 + CADS		2023-10-26		Image generation
DiT-XL/2 + Discriminator Guidance		2022-11-28		Image generation
Diabetic Retinopathy Detection Net		2016-12-13		Vision
DiffDock		2022-10-04	72000.0	Biology
Differentiable neural computer		2016-10-12		Language
Diffractive Deep Neural Network		2018-04-14		Vision
Diffusion-GAN		2022-06-05		Image generation
Dimensionality Reduction		2006-07-18		Vision
Diplodocus		2022-10-11		Games
Discriminator Guidance		2022-11-28	215700.0	Image generation
DistBelief NNLM		2013-01-16	2612.736	Language
DistBelief Speech		2012-12-03	311.40002	Speech
DistBelief Vision		2012-12-03		Vision
DistilBERT		2019-10-02	12441.6	Language
Distributed representation NN		1986-01-01	3.888e-07	Other
DnCNN		2017-02-01		Multiple domains
Domain Adaptation		2011-11-06		Vision
DrLIM		2006-06-17		Other
Dropout (CIFAR)		2012-06-03	4.2687	Vision
Dropout (ImageNet)		2012-06-03	273.1968	Vision
Dropout (MNIST)		2012-06-03	6.039371	Vision
Dropout (TIMIT)		2012-06-03		Speech
Dropout-LSTM+Noise(Bernoulli) (WT2)		2018-05-03	127.0	Language
EDSR		2017-06-10		Multiple domains
EI-REHN-1000D		2017-08-14	10.599999	Language
ELECTRA		2020-03-23	3100000.0	Language
ELMo		2018-02-01		Language
EMDR		2021-06-09	1910000.0	Language
ENAS		2018-02-09	20.1	Language
EN^2AS with performance reward		2019-07-22		Language
ERNIE 3.0		2021-07-05	22500000.0	Language
ERNIE 3.0 Titan		2021-12-23	1042100030.0	Language
ERNIE 3.5		2023-06-27		Language
ERNIE 4.0		2023-10-17		Multiple domains
ERNIE-Doc (247M)		2020-12-31	29100.0	Language
ERNIE-GEN (large)		2020-08-06	200000.0	Language
ERNIE-ViLG		2021-12-31		Multiple domains
ESM1b		2020-12-15	5100000.0	Biology
ESM2-15B		2022-07-21	73500000.0	Biology
ESM3 (98B)		2024-06-25	1070000000.0	Biology
ESRGAN		2018-09-01		Multiple domains
EVA-01		2022-11-14	15010000.0	Vision
EfficientDet		2020-07-27		Vision
EfficientNet-L2		2019-05-28		Vision
EfficientNetV2-XL		2021-06-23	95600.01	Vision
EfficientZero		2021-10-30		Games
Elastic weight consolidation		2016-12-02		Multiple domains
Empirical evaluation of deep architectures		2007-06-01		Other
EnCodec		2022-10-24		Other
Enhanced Neighborhood-Based Filtering		2007-10-28		Other
Error Propagation		1986-01-03		Other
Eve		2021-10-27		Biology
FAIRSEQ Adaptive Inputs		2019-04-01	7300.0005	Language
FAST		2006-05-07		Other
FLAN 137B		2021-09-03	2047000000.0	Language
Falcon-180B		2023-09-06	3760000300.0	Language
Falcon-40B		2023-03-15	240000000.0	Language
Fast R-CNN		2015-04-30		Vision
Faster R-CNN		2015-06-04		Vision
Feedback Transformer		2020-02-21	44100.0	Language
Feedforward NN		2010-05-13	0.35000002	Vision
Ferret (13B)		2023-10-11		Multiple domains
FinGPT-13B		2023-10-07	160000000.0	Language
Fine-tuned-AWD-LSTM-DOC (fin)		2018-11-12	51.88	Language
Firefly		2023-03-21		Image generation
Fisher Kernel GMM		2007-07-16		Vision
Fisher Vector image classifier		2013-06-12	0.0908424	Vision
Fisher-Boost		2010-09-05		Vision
FixRes ResNeXt-101 WSL		2019-06-14		Vision
Flamingo		2022-04-29	218972000.0	Multiple domains
Flan T5-XXL + BLIP-2		2023-01-30		Multiple domains
Flan-PaLM 540B		2022-10-20	2500000000.0	Language
Flan-T5 11B		2022-10-20	33000000.0	Language
Florence		2021-11-22	48310000.0	Vision
Fractional Max-Pooling		2014-12-18	100.0	Vision
Fragment embedding		2014-06-21		Other
FrameNet role labeling		2000-09-01		Language
Fraternal dropout + AWD-LSTM 3-layer (WT2)		2017-10-31	98.5	Language
Fully Convolutional Networks		2014-11-14		Vision
FunSearch		2023-12-14	387000000.0	Multiple domains
Fusion in Encoder		2022-11-18	130000.0	Language
Fuzzy NN		1992-09-01	1.4031178e-06	Speech
GAN-Advancer		2016-12-05		Vision
GANs		2014-06-10	518.4	Image generation
GBERT-Large		2020-10-21	2244464.5	Language
GCNN-14		2016-12-23		Language
GGNN		2023-08-05	7560000.5	Biology
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2)		2017-08-29	474.00003	Language
GLEE		1968-07-01		Games
GLIDE		2021-12-20	47000000.0	Image generation
GLM-130B		2022-08-04	354900540.0	Language
GLM-4 (0520)		2024-06-18	12000000000.0	Language
GLaM		2021-12-13	363631140.0	Language
GNMT		2016-09-26	6620000.0	Language
GOAT		2021-07-27	24120000.0	Games
GPT-1		2018-06-01	17578.125	Language
GPT-2 (1.5B)		2019-02-14	1920000.1	Language
GPT-3 175B (davinci)		2020-05-28	314000000.0	Language
GPT-3.5 (text-davinci-003)		2022-11-28	2578000000.0	Language
GPT-3.5 Turbo		2022-11-30		Language
GPT-4		2023-03-15	21000000000.0	Multiple domains
GPT-4 Turbo		2023-11-06		Multiple domains
GPT-4V		2023-09-25		Multiple domains
GPT-4o		2024-05-13		Multiple domains
GPT-NeoX-20B		2022-02-09	93162700.0	Language
GPU DBNs		2009-06-15	1.0	Other
GPipe (Amoeba)		2018-11-16		Vision
GPipe (Transformer)		2018-11-16		Language
GRUs		2014-06-03		Language
GSM		2017-07-30		Language
GShard (dense)		2020-06-30	47650000.0	Language
Galactica		2022-11-16	324000000.0	Multiple domains
Gated HORNN (3rd order)		2016-04-30		Language
Gato		2022-05-12	4020000.0	Multiple domains
Gemini 1.0 Pro		2023-12-06		Multiple domains
Gemini 1.0 Ultra		2023-12-06	50000003000.0	Multiple domains
Gemini 1.5 Pro		2024-02-15		Multiple domains
Gemini Nano-1		2023-12-19		Multiple domains
Gemini Nano-2		2023-12-19		Multiple domains
Gen-1		2023-02-06		Other
Gen-2		2023-03-20		Other
GenSLM		2022-10-11	1420000.0	Biology
Generative BST		2021-03-05	14490000.0	Language
Genetic algorithm		1954-07-02		Other
German ELECTRA Large		2020-10-21	1428295.6	Language
GloVe (32B)		2014-01-01		Language
GloVe (6B)		2014-01-01		Language
Go-explore		2020-04-27		Games
Goat-7B		2023-05-23		Language
Golem		1992-10-01		Biology
GoogLeNet / InceptionV1		2014-09-17	1510.0	Vision
Gopher (280B)		2021-12-08	631000000.0	Language
Gradient Boosting Machine		2001-10-01		Other
Graph-based structural reasoning		1970-09-01		Vision
GraphCast		2023-11-14	21000000.0	Other
Greedy layer-wise DNN training		2006-12-04		Other
GroupLens		1994-10-22		Other
HLBL		2008-12-08		Language
HMM Word Alignment		1996-08-05		Language
HOGWILD!		2011-11-11		Other
HRA		2017-06-13		Games
Hanabi 4 player		2019-02-01	4300.0	Games
Handwritten Digit Recognition System		1989-01-01	0.00018144	Vision
Heuristic Reinforcement Learning		1965-10-01	1.08e-09	Other
Hierarchical Cognitron		1984-04-01		Other
Hierarchical LM		2005-01-01	0.115848005	Language
Hiero		2005-06-01		Language
Histograms of Oriented Gradients		2005-06-25		Vision
Hopfield Networks (2020)		2020-07-16		Multiple domains
Hopfield network		1982-04-01		Other
HuBERT		2021-07-27	5540000.0	Speech
Hybrid H3-2.7B		2022-12-28	849000.06	Language
HyenaDNA		2023-06-27	1811000.0	Biology
HyperCLOVA 204B		2021-09-10		Language
HyperNEAT		2014-03-05		Games
IBM Model 4		1999-07-02		Language
IBM-5		1993-06-15		Language
IMPALA		2018-02-05	168000.0	Games
ISR network		1990-10-01		Vision
ISS		2017-09-15	3.4	Language
Image generation		2013-12-20	0.47520003	Vision
Image-to-image cGAN		2016-11-21		Multiple domains
ImageBind		2023-05-09		Multiple domains
Imagen		2022-05-23	14600000.0	Image generation
Immediate trihead		2001-07-06		Language
Inception v3		2015-12-02		Vision
Inception-ResNet-V2		2016-02-23		Vision
Inceptionv4		2016-02-23		Vision
Incoder-6.7B		2023-04-09	3000010.2	Language
Inflated 3D ConvNet		2017-06-01		Other
Inflection-2		2023-11-22	10010000000.0	Language
Inflection-2.5		2024-03-07	10001000000.0	Language
Innervator		1989-01-01	1.2e-07	Other
InstructBLIP		2023-05-11	194000.0	Multiple domains
InstructGPT		2022-01-27		Language
InternImage		2022-11-10	2408000.2	Vision
InternLM		2023-07-06		Language
Internal functionality of visual invariants		1979-05-02		Vision
Invariant CNN		2004-06-27	0.00097423	Vision
Invariant image recognition		1989-06-18	2.7e-05	Vision
Iterative Bootstrapping WSD		1995-06-26		Language
JFT		2017-07-10	843000.06	Vision
JPMAX		1994-01-01	8.082828e-08	Vision
Jais		2023-08-29	30800002.0	Language
Jurassic-1-Jumbo		2021-08-11	370000000.0	Language
KEPLER		2020-11-23	124000.0	Language
KN-LM		2007-06-22	773.03815	Language
KataGo		2019-02-27	23200.002	Games
Kohonen network		1981-07-25		Other
LDA		2003-02-02		Language
LDM-1.45B		2021-12-20		Image generation
LEP-AD		2023-03-15		Biology
LISSOM		1995-11-27	0.0001955448	Vision
LLaMA-65B		2023-02-24	550000000.0	Language
LLaVA		2023-04-17	78049000.0	Multiple domains
LLaVA 1.5		2023-11-05	78070000.0	Multiple domains
LMICA		2004-12-01	2.7820802	Vision
LMS		1960-06-30		Multiple domains
LMSI-Palm		2022-10-20		Language
LRCN		2014-11-07		Other
LRSO-GAN		2017-10-22		Vision
LSTM		1997-11-15	0.021008	Language
LSTM (2018)		2018-03-04		Language
LSTM (Hebbian, Cache, MbPA)		2018-03-27	33300.0	Language
LSTM + dynamic eval		2017-09-21		Language
LSTM LM		2012-01-01	16.6	Language
LSTM with forget gates		1999-01-02		Language
LSTM+NeuralCache		2018-09-24	1.02	Language
LSTM-300units		2012-09-01		Language
LSTM-Char-Large		2015-08-26	2.6499999	Language
LTE speaker verification system		1966-11-01	1.0591706e-07	Speech
LTM-1		2023-06-06		Language
LUKE		2020-10-02	18144000.0	Language
LaMDA		2022-02-10	355000000.0	Language
LaNet-L (CIFAR-10)		2019-06-17		Vision
Large regularized LSTM		2014-09-08	91.0	Language
LeNet-5		1998-11-01	0.0028109376	Vision
Learnability theory of language development		1984-07-01		Language
Libratus		2017-01-01	551000.0	Games
Linear Decision Functions		1962-06-01	1.5592501e-09	Other
Listen, Attend and Spell		2015-08-20		Speech
Llama 2-70B		2023-07-18	810000000.0	Language
Llama 2-7B		2023-07-18	84000000.0	Language
Llama 3-70B		2024-04-18	7861000000.0	Language
Llama 3.1-405B		2024-07-23	38000000000.0	Language
Llama Guard		2023-12-07	160000000.0	Language
Local Binary Patterns for facial recognition		2006-12-01		Vision
LongT5		2021-12-15		Language
M4-50B		2019-10-11		Language
M6-T		2021-03-05	5500000.5	Multiple domains
MADALINE I		1962-07-01		Other
MCDNN (MNIST)		2012-02-13	3.726979	Vision
MEB		2021-09-04		Multiple domains
MLN-ASR		1988-08-01	2.96425e-07	Speech
MLP baggage detector		1989-01-01		Vision
MM1-30B		2024-03-14	486000000.0	Multiple domains
MMLSTM		2019-12-05	2320.0	Language
MS-CNN		2016-09-17		Vision
MSA Transformer		2021-02-13	5490000.0	Biology
MSRA (C, PReLU)		2015-02-06	23974.031	Vision
MT-DNN		2019-01-31		Language
MUSIC perceptron		1996-06-03	0.0008817336	Vision
MV-RNN		2012-07-12		Language
Make-A-Video		2022-09-29		Other
Mamba-24M (SC09)		2023-12-01		Speech
Mask R-CNN		2017-03-30		Vision
Masked Autoencoders ViT-H		2021-11-11	460000.0	Vision
MatrixFac for Recommenders		2009-08-07		Other
Max-Margin Markov Networks		2004-03-01		Multiple domains
Maximum Entropy Models for machine translation		2002-07-06		Language
Maximum compute		1950-07-02	4e-14	Other
Maximum compute		1957-01-01	6.948949e-10	Other
Maximum compute		1959-02-01	6e-07	Language
Maximum compute		1960-03-30	7.2e-07	Vision
Maximum compute		1987-06-06	2.8328002e-05	Speech
Maximum compute		1989-01-01	0.00018144	Vision
Maximum compute		1992-05-01	0.018232157	Games
Maximum compute		1994-01-01	0.018621901	Language
Maximum compute		1997-11-15	0.021008	Language
Maximum compute		2000-01-01	6.339	Language
Maximum compute		2007-06-22	1449.4465	Language
Maximum compute		2013-01-16	2612.736	Language
Maximum compute		2014-12-03	297600.0	Language
Maximum compute		2015-10-01	380000.03	Games
Maximum compute		2016-09-26	6620000.0	Language
Maximum compute		2017-10-18	341000000.0	Games
Maximum compute		2021-09-03	2047000000.0	Language
Maximum compute		2022-06-29	2741500200.0	Language
Maximum compute		2023-12-06	50000003000.0	Multiple domains
Maximum data		1950-07-02	4e-14	Other
Maximum data		1959-07-01	4.284e-07	Games
Maximum data		1983-09-01	3.24e-07	Other
Maximum data		1992-05-01	0.018232157	Games
Maximum data		2007-06-22	1449.4465	Language
Maximum data		2021-02-13	5490000.0	Biology
Maximum data		2024-09-19	7800000000.0	Language
Maximum data		1955-03-01		Other
Maximum data		1993-06-15		Language
Maximum data		1994-10-22		Other
Maximum data		1995-06-26		Language
Maximum parameters		1950-07-02	4e-14	Other
Maximum parameters		1957-01-01	6.948949e-10	Other
Maximum parameters		1975-09-01	5.76e-09	Other
Maximum parameters		1980-04-01	2.281152e-07	Vision
Maximum parameters		2001-12-08	0.063	Vision
Maximum parameters		2007-06-22	1449.4465	Language
Maximum parameters		2021-01-11	82200000.0	Language
Maximum parameters		1955-03-01		Other
Maximum parameters		1959-12-01		Vision
Maximum parameters		1993-06-15		Language
Maximum parameters		1995-09-01		Vision
Maximum parameters		2023-10-25		Language
Maxout Networks		2013-02-18		Vision
MedBERT		2021-05-20	9470.0	Other
Meena		2020-01-28	112000000.0	Language
MegaScale (Production)		2024-02-23	12000000000.0	Language
MegaSyn		2022-03-07		Other
Megatron-BERT		2019-09-17	22000002.0	Language
Megatron-LM (8.3B)		2019-09-17	9100000.0	Language
Megatron-Turing NLG 530B		2021-10-11	1170000000.0	Language
MemoReader		2018-10-31		Language
Mesh-TensorFlow Transformer 2.9B (translation)		2018-11-05	68428.805	Language
Mesh-TensorFlow Transformer 4.9B (language)		2018-11-05	161740.8	Language
MetNet		2020-03-24		Other
Meta Movie Gen Video		2024-10-04	1650000000.0	Other
Meta Pseudo Labels		2021-03-01	47900004.0	Vision
MetaLM		2022-06-13		Multiple domains
MetaMimic		2018-10-11		Other
Mid-level Features		2010-06-13		Vision
Midjourney V1		2022-02-15		Image generation
Minerva (540B)		2022-06-29	2741500200.0	Language
Mistral Large		2024-02-26	11200000000.0	Language
Mistral Large 2		2024-07-24	21300000000.0	Language
Mitosis		2013-09-22	137.0	Multiple domains
Mixtral 8x7B		2023-12-11		Language
Mixture of linear models		1994-01-01	0.0004536	Vision
MnasNet-A1 + SSDLite		2019-05-29	1500000.0	Vision
MnasNet-A3		2019-05-29	1500000.0	Vision
Mnemonic Reader		2017-05-08		Language
MoCo		2019-11-13		Multiple domains
MoE-Multi		2017-01-23	93939.055	Language
MobileNet		2017-04-17		Vision
MobileNetV2		2018-06-18		Vision
Mogrifier (d2, MoS2, MC) + dynamic eval		2019-09-04		Language
Mogrifier RLSTM (WT2)		2022-11-03	140.0	Language
Monocular Depth Prediction		2005-12-05		Vision
Motion-Driven 3D Feature Tracking		1988-07-01		Other
MuZero		2019-11-19	48000.0	Games
Multi-cell LSTM		2018-11-15	2.01	Language
Multi-scale Dilated CNN		2015-11-23		Vision
Multi-task Cascaded CNN		2016-08-26		Vision
MultiBand Diffusion		2023-11-08	26000.0	Multiple domains
Multilingual DNN		2013-05-26		Speech
Multiresolution CNN		2014-06-23		Other
Multiscale deformable part model		2008-06-23		Vision
MusicGen		2023-06-08		Other
MusicLM		2023-01-26		Other
NAS with base 8 and shared embeddings		2016-11-05	10.5	Language
NAS+ESS (156M)		2020-05-06	2890.0	Language
NASNet-A		2017-07-21		Vision
NASv3 (CIFAR-10)		2016-11-05	2200000.0	Vision
NEAT		2002-06-01		Other
NLLB		2022-07-06	17511138.0	Language
NLP from scratch		2011-11-08		Language
NMT Transformer 437M		2019-02-28		Language
NPLM		2003-03-15	1.3038988	Language
NTM		2014-12-10		Multiple domains
Named Entity Recognition model		2016-05-29	96.940796	Language
Nemotron-3-8B		2023-11-15	180000000.0	Language
Nemotron-4 340B		2024-06-14	18000000000.0	Language
Neocognitron		1980-04-01	2.281152e-07	Vision
NetTalk (dictionary)		1987-06-06	2.7664064e-05	Speech
NetTalk (transcription)		1987-06-06	2.8328002e-05	Speech
Netflix Recommender System		2015-12-01		Other
Network in Network		2013-12-16		Vision
NeuMF (Pinterest)		2017-08-16		Other
Neural LM		2000-01-01	6.339	Language
Neuro-Symbolic Concept Learner		2019-04-26		Multiple domains
NeuroChess		1994-01-01	0.0008587308	Games
Noisy Student (L2)		2019-11-11	26120000.0	Vision
NoisyNet-Dueling		2017-06-30		Games
Nucleotide Transformer		2023-01-15	8080000.0	Biology
NÜWA		2021-11-24	4838400.0	Multiple domains
ONE-PEACE		2023-05-18	180000.0	Multiple domains
OPT-175B		2022-05-02	430000030.0	Language
OR-WideResNet		2017-01-07		Vision
OmegaPLM		2022-07-22	10351411.0	Biology
OmniVec		2023-11-07		Multiple domains
Once for All		2020-04-29	1784281.0	Vision
OntoProtein		2022-01-23		Multiple domains
OpenAI Five		2019-12-13	67000004.0	Games
OpenAI Five Rerun		2019-12-13	13000000.0	Games
OpenAI TI7 DOTA 1v1		2017-08-11	604609.5	Games
OpenVLA		2024-06-13	110000000.0	Multiple domains
Optimized Multi-Scale Edge Detection		1986-11-01		Vision
Optimized Single-layer Net		2011-04-11		Vision
OverFeat		2013-12-21		Vision
PDP model for serial order		1986-01-05		Speech
PG-SWGAN		2019-06-15		Image generation
