mapName	mapID	released_year	map_comment	doi	img_tech	n_machines_involved	n_machines_parallel	species	dev	organ	region	fov_x_um	fov_y_um	fov_z_um	fov_mm3	vx_x_nm	vx_y_nm	vx_z_nm	vx_avg_nm	dsSize_nVx	dsSize_TB	DT	imagingRate	imagingRate_perMachine
		year				units	units					um	um	um	um^3	nm	nm	nm	nm	nVx	TB	µs/px	MHz	MHz
flyBrain_adult	--	2018	Zheng 2018	https://doi.org/10.1016/j.cell.2018.06.019	ss - TEMCA	2	1	fly	adult	brain	brain	271.4	271.4	271.4	0.01999077034	4	4	40	8.61773876	31235578662500	31.23557866	0.02	50	50
mouseL4	2012-09-28_ex145_07x2_new2	2015	Berning 2015	https://doi.org/10.1016/j.neuron.2015.09.003	SBF - SEM	1	1	mouse	adult	brain	cortex	93	60	93	0.00051894	11.24	11.24	28	15.23690938	146698777154	0.1466987772	undisclosed	undisclosed	undisclosed
mouseCortex	kasthuri11	2015	Kasthuri 2015	https://doi.org/10.1016/j.cell.2015.06.054	ATUM - SEM	1	1	mouse	adult	brain	cortex	86	106.5	74	0.000677766	4	4	40	8.61773876	1059009375000	1.059009375	1	1	1
zebrafishBrain_larva	160515_SWiFT_60nmpx	2017	Hildebrand 2017	https://doi.org/10.1038/nature22356	ATUM - SEM	2	1	zebrafish	larva	brain	brain	577.5	519.8	973.5	0.2922296108	56.4	56.4	60	57.57533666	1531139502697	1.531139503	1	1	1
zebrafishBrain_larva	--	2017	Hildebrand 2017	https://doi.org/10.1038/nature22356	ATUM - SEM	2	1	zebrafish	larva	brain	brain	290	250	752.76	0.0545751	18.8	18.8	60	27.67933485	2573520258035	2.573520258	1	1	1
flyBrain_mb		2017	Takemura 2017	https://doi.org/10.7554/eLife.26975	FIB - SEM	1	1	fly	adult	brain	mushroom body	40	50	120	0.00024	8	8	8	8	468750000000	0.46875	6.4512	0.1550099206	0.1550099206
flyBrain_antennaLobe	--	2017	Tobin 2017	DOI: 10.7554/eLife.24838	ATUM - SEM	1	1	fly	adult	brain	antennaLobe	400	750	95.85	0.028755	4	4	50	9.283177667	35943750000000	35.94375	0.125	8	8
flyBrain_medulla	--	2013	Takemura 2013	https://doi.org/10.1038/nature12450	ss - TEM	1	1	fly	adult	eye	medulla	52.8	52.8	64.24	0.0001790908416	4.4	4.4	44	9.479512636	210240000000	0.21024	26.71232877	0.03743589744	0.03743589744
flyBrain_medulla	--	2015	Takemura 2015	www.pnas.org/cgi/doi/10.1073/pnas.1509820112	FIB - SEM	1	1	fly	adult	eye	medulla	40	40	80	0.000128	10	10	10	10	128000000000	0.128	undisclosed	undisclosed	undisclosed
nematode	Bumbarger13	2013	Bumbarger 2013	https://doi.org/10.1016/j.cell.2012.12.013	ss - TEM	1	1	nematode	adult	pharynx	pharynx	95.84	79.87	138.1	0.001057119704	3.9	3.9	50	9.127806105	1390032484523	1.390032485	undisclosed	undisclosed	undisclosed
mouseBarrelCx_P5	P5_L4_reviewMode_v04_06-01-2021	2020	Gour 2020	https://www.science.org/doi/10.1126/science.abb4534	SBF - SEM	1	1	mouse	young	brain	cortex	75.8	92.3	77.9	0.000545014886	11.24	11.24	30	15.59138249	143798543479	0.1437985435	undisclosed	undisclosed	undisclosed
mouseBarrelCx_P7	P7_L4_AG_27-05-2017_v1	2020	Gour 2020	https://www.science.org/doi/10.1126/science.abb4534	SBF - SEM	1	1	mouse	young	brain	cortex	80.6	115.1	161.3	0.001496389778	11.24	11.24	30	15.59138249	394812464909	0.3948124649	undisclosed	undisclosed	undisclosed
mouseBarrelCx_P9	AG_P9_L4_30-06-2016	2020	Gour 2020	https://www.science.org/doi/10.1126/science.abb4534	SBF - SEM	1	1	mouse	young	brain	cortex	80.6	103.6	103.7	0.000865911592	11.24	11.24	30	15.59138249	228464999599	0.2284649996	undisclosed	undisclosed	undisclosed
mouseBarrelCx_P14	P14_L4_AG_15-09-2015	2020	Gour 2020	https://www.science.org/doi/10.1126/science.abb4534	SBF - SEM	1	1	mouse	young	brain	cortex	79.1	77.7	138.2	0.000849386874	11.24	11.24	30	15.59138249	224105062942	0.2241050629	undisclosed	undisclosed	undisclosed
humanCortex	H5	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	human	adult	brain	cortex	166.9	216.5	112.8	0.00407589828	11.24	11.24	30	15.59138249	1075398582845	1.075398583	0.7	1.428571429	1.428571429
humanCortex	H6	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	human	adult	brain	cortex	169.8	215.8	78.8	0.002887455792	11.24	11.24	30	15.59138249	761835956991	0.761835957	0.7	1.428571429	1.428571429
macaqueCortex	S1	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	macaque	adult	brain	cortex	167.9	219.7	100.8	0.003718273104	11.24	11.24	30	15.59138249	981041564823	0.9810415648	0.4	2.5	2.5
macaqueCortex	STG	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	macaque	adult	brain	cortex	178.8	228.4	108	0.00441049536	11.24	11.24	30	15.59138249	1163679791289	1.163679791	0.4	2.5	2.5
mouseCortex	S1	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	mouse	adult	brain	cortex	88.5	56.5	213.5	0.001067553375	11.24	11.24	28	15.23690938	301785899447	0.3017858994	undisclosed	undisclosed	undisclosed
mouseCortex	PPC	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	mouse	adult	brain	cortex	144.4	144.4	145.9	0.003042213424	11.24	11.24	30	15.59138249	802667726261	0.8026677263	undisclosed	undisclosed	undisclosed
mouseCortex	ACC	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	mouse	adult	brain	cortex	110.6	172	107.5	0.002044994	12	12	30	16.2865057	473378240741	0.4733782407	undisclosed	undisclosed	undisclosed
mouseCortex	V2	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	mouse	adult	brain	cortex	86	122.9	153.6	0.00162345984	12	12	30	16.2865057	375800888889	0.3758008889	undisclosed	undisclosed	undisclosed
mouseCortex	A2	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	mouse	adult	brain	cortex	116.8	181	109.3	0.00231068944	11.24	11.24	30	15.59138249	609660000929	0.6096600009	0.7	1.428571429	1.428571429
mouseCortex	PPC-2	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	SBF - SEM	1	1	mouse	adult	brain	cortex	290.9	622.4	396.8	0.07184308429	11.24	11.24	30	15.59138249	18955318735410	18.95531874	undisclosed	undisclosed	undisclosed
humanCortex	H5 (mSEM)	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	ATUM - mSEM	1	1	human	adult	brain	cortex	1700	2100	28.3	0.101031	4	4	36.9	8.389101512	171122967479675	171.1229675	0.05	20	20
humanCortex	H5_ext	2022	Loomba 2022	https://doi.org/10.1126/science.abo0924	ATUM - mSEM	1	1	human	adult	brain	cortex	1100	1100	54	0.06534	4	4	40.2	8.632077786	101585820895522	101.5858209	0.05	20	20
flyBrain_hemibrain	hemibrain	2020	Scheffer 2020	https://doi.org/10.7554/eLife.57443	FIB - SEM	2	2	fly	adult	brain	brain	250	250	250	0.015625	8	8	8	8	30517578125000	30.51757813	1.84	0.5434782609	0.2717391304
mouseOBcolumn	C525b	2022	Bosch 2022	https://doi.org/10.1038/s41467-022-30199-6	SBF - SEM	1	1	mouse	adult	brain	OB	737.5	785.9	494.9	0.2868446586	50	50	50	50	2294757269000	2.294757269	0.5	2	2
