Year	Month	normalized_best_yield	Authors	Method	source	Publication	Method Note	doi	initial_submission	normalized_technology	include	title	abstract	paper_type	channels	probes	stimulation	indicator	detailed_technology	detailed_yield	areas	free_behavior	normalized_species	is_neuropixels	normalized_chronic	normalized_quotes	date_float	cutting_edge	effective_temporal_resolution_hz	calculated_information_rate
2019.0	4.0	11907	Weisenburger et al.	Imaging	Urai	Cell		10.1016/j.cell.2019.03.011	2019-04-01	calcium_imaging																	2019.246733	3		
2016.0	12.0	1166	Kim et al.	Imaging	Urai	Cell Reports	mouse	10.1016/j.celrep.2016.12.004	2016-12-01	calcium_imaging																	2016.916774	4		
2015.0	4.0	1800	Peron et al.	Imaging	Urai	Neuron	2p	10.1016/j.neuron.2015.03.027	2015-04-01	calcium_imaging																	2015.246651	1		
2014.0	11.0	301	Lecoq et al.	Imaging	Urai	Nature Neuroscience		10.1038/nn.3867	2014-11-01	calcium_imaging																	2014.833227	3		
2013.0	2.0	740	Ziv et al.	Imaging	Urai	Nature Neuroscience		10.1038/nn.3329	2013-02-01	calcium_imaging																	2013.086443	1		
2013.0	10.0	411	Cotton et al.	Imaging	Meijer	Frontiers in Neural Circuits		10.3389/fncir.2013.00151	2013-10-01	calcium_imaging																	2013.749016	2		
2012.0	8.0	250	Huber et al.	Imaging	Svoboda	Nature	First long-term calcium imaging experiment	10.1038/nature11039	2012-08-01	calcium_imaging																	2012.582668	1		
2012.0	8.0	138	Petreanu et al.	Imaging	Svoboda	Nature	First imaging of axons to look at neurons defined by projections	10.1038/nature11321	2012-08-01	calcium_imaging																	2012.582668	2		
2011.0	1.0	200	Cheng et al.	Imaging	Meijer	Nature Methods		10.1038/nmeth.1552	2011-01-01	calcium_imaging																	2011.000157	1		
2010.0	4.0	58	Komiyama et al.	Imaging	Svoboda	Nature	average 55 neurons per experiment. First calcium imaging in behavior	10.1038/nature08897	2010-04-01	calcium_imaging																	2010.247233	0		
2010.0	9.0	1585	Kerlin et al.	Imaging	Urai	Neuron	2p, mouse	10.1016/j.neuron.2010.08.002	2010-09-01	calcium_imaging																	2010.666133	0		
2010.0	9.0	106	O'Connor et al.	Imaging	Urai	Neuron		10.1016/j.neuron.2010.08.026	2010-09-01	calcium_imaging																	2010.666133	0		
2010.0	10.0	100	Dombeck et al.	Imaging	Urai	Nature Neuroscience		10.1038/nn.2648	2010-10-01	calcium_imaging																	2010.74827	2		
2005.0	1.0	100	Ohki et al.	Imaging	Meijer	Nature	calcium imaging in rat and cat cortex	10.1038/nature03274	2005-01-01	calcium_imaging																	2005.001403	0		
2003.0	6.0	35	Stosiek et al.	Imaging	Meijer	PNAS		10.1073/pnas.1232232100	2003-06-01	calcium_imaging																	2003.413417	0		
		10000			Mineault			10.1101/156786	2017-06-27	calcium_imaging	checked	Robustness of spike deconvolution for calcium imaging of neural spiking	"Calcium imaging is a powerful method to record the activity of neural populations, but inferring spike times from calcium signals is a challenging problem. We compared multiple approaches using multiple datasets with ground truth electrophysiology, and found that simple non-negative deconvolution (NND) outperformed all other algorithms. We introduce a novel benchmark applicable to recordings without electrophysiological ground truth, based on the correlation of responses to two stimulus repeats, and used this to show that unconstrained NND also outperformed the other algorithms when run on ""zoomed out"" datasets of ~10,000 cell recordings. Finally, we show that NND-based methods match the performance of a supervised method based on convolutional neural networks, while avoiding some of the biases of such methods, and at much faster running times. We therefore recommend that spikes be inferred from calcium traces using simple NND, due to its simplicity, efficiency and accuracy."	methods	unknown	unknown	involved	GCaMP6m, using viral vector injection for expression	Two-photon calcium imaging, with GCaMP6m indicator	Recorded approximately 10,000 neurons per session in the visual cortex of awake, head-fixed mice.	['primary visual cortex']	FALSE	mouse		False	"Two-photon calcium imaging can be used to monitor the activity of populations of up to 10,000 neurons.

All experimental procedures were conducted according to the UK Animals Scientific Procedures Act (1986). Experiments were performed at University College London under personal and project licenses released by the Home Office following appropriate ethics review.

For this analysis, we used some of our own datasets, in which the responses to an ensemble of full field drifting grating stimuli were simultaneously-recorded in ∼ 10,000 cells from primary visual cortex of awake mice.

NND models infer the most likely spike train 𝐬(𝑡), given the fluorescence timecourse 𝐅(𝑡), and a response kernel 𝐤.

Our new benchmark is to maximize the Spearman correlation 𝜎𝑠𝑡𝑖𝑚 of deconvolved responses to two repeats of an ensemble of stimuli.

Some mice were transgenic and expressed tdtomato in certain cell classes.

During the surgery we implanted a head-plate for later head-fixation, made a craniotomy with a cranial window implant for optical access, and, on relevant experiments, performed injections of the GCaMP6m virus with a beveled micropipette using a Nanoject II injector."	2017.486259	1		
